,date,SEASON,PM_RETIRO,PM_VALLECAS,PM_CIUDADLINEAL,PM_CENTRO,DEW_POINT,HUMIDITY,TEMPERATURE,WIND_SPEED,PRECIPITAITON,COMMULATIVE_PRECIPITATION,log_pmcentro,log_dewpoint,log_humidity,log_temperature,log_wind,log_precipitation,log_cumprecipitation,Date,Day of Week,year,month
0,01 00:00:00,4,,,,4.859812404361672,,3.6495754041549064,0.7134318517314506,2.6712709495989135,0.0,0.0,4.859812404361672,,3.6495754041549064,0.7134318517314506,2.6712709495989135,0.0,0.0,2010-01-01,4,2010,1
1,02 00:00:00,4,,,,4.972125439334381,,4.355907223440255,1.215787975383868,3.213260086082565,0.0,0.0,4.972125439334381,,4.355907223440255,1.215787975383868,3.213260086082565,0.0,0.0,2010-01-02,5,2010,1
2,03 00:00:00,4,,,,4.361504998953085,,4.476389396122166,-0.5579095940391776,4.261805081373597,2.501435951739211,2.501435951739211,4.361504998953085,,4.476389396122166,-0.5579095940391776,4.261805081373597,2.501435951739211,2.501435951739211,2010-01-03,6,2010,1
3,04 00:00:00,4,,,,3.3773030614627193,,3.8331601570024216,,4.710978101547655,0.0,0.0,3.3773030614627193,,3.8331601570024216,,4.710978101547655,0.0,0.0,2010-01-04,0,2010,1
4,05 00:00:00,4,,,,3.7737183340509657,,3.738661190005663,,4.041646773221651,0.0,0.0,3.7737183340509657,,3.738661190005663,,4.041646773221651,0.0,0.0,2010-01-05,1,2010,1
5,06 00:00:00,4,,,,4.083873262354805,,3.668889309237434,,2.9184011639509735,0.0,0.0,4.083873262354805,,3.668889309237434,,2.9184011639509735,0.0,0.0,2010-01-06,2,2010,1
6,07 00:00:00,4,,,,4.283011684006337,,3.8918202981106265,,2.319442210060468,0.0,0.0,4.283011684006337,,3.8918202981106265,,2.319442210060468,0.0,0.0,2010-01-07,3,2010,1
7,08 00:00:00,4,,,,5.160969175396813,,4.167311010068923,,0.6795129892841417,0.0,0.0,5.160969175396813,,4.167311010068923,,0.6795129892841417,0.0,0.0,2010-01-08,4,2010,1
8,09 00:00:00,4,,,,4.43970574626056,,4.047427642434349,-2.3616740093640596,2.587670045848439,0.0,0.0,4.43970574626056,,4.047427642434349,-2.3616740093640596,2.587670045848439,0.0,0.0,2010-01-09,5,2010,1
9,10 00:00:00,4,,,,4.008847190063686,,4.034240638152395,-0.9122007466226334,2.8573797541421593,0.0,0.0,4.008847190063686,,4.034240638152395,-0.9122007466226334,2.8573797541421593,0.0,0.0,2010-01-10,6,2010,1
10,11 00:00:00,4,,,,2.99155690214351,,3.6221162379542537,-0.8305894111764721,3.7301613428666256,0.0,0.0,2.99155690214351,,3.6221162379542537,-0.8305894111764721,3.7301613428666256,0.0,0.0,2010-01-11,0,2010,1
11,12 00:00:00,4,,,,3.0204248861443626,,3.6656961186582793,,4.100630320938687,0.0,0.0,3.0204248861443626,,3.6656961186582793,,4.100630320938687,0.0,0.0,2010-01-12,1,2010,1
12,13 00:00:00,4,,,,3.754394061224563,,3.6298811133519804,,5.134351312038394,0.0,0.0,3.754394061224563,,3.6298811133519804,,5.134351312038394,0.0,0.0,2010-01-13,2,2010,1
13,14 00:00:00,4,,,,4.522693964163853,,3.974215025684594,,2.5831481351757417,0.0,0.0,4.522693964163853,,3.974215025684594,,2.5831481351757417,0.0,0.0,2010-01-14,3,2010,1
14,15 00:00:00,4,,,,3.9086841041626315,,3.802022110213817,0.588848638756002,2.5162168839356593,0.0,0.0,3.9086841041626315,,3.802022110213817,0.588848638756002,2.5162168839356593,0.0,0.0,2010-01-15,4,2010,1
15,16 00:00:00,4,,,,5.207891074458337,,4.207797247777263,-0.3932449967733922,0.9850391290352493,0.0,0.0,5.207891074458337,,4.207797247777263,-0.3932449967733922,0.9850391290352493,0.0,0.0,2010-01-16,5,2010,1
16,17 00:00:00,4,,,,5.3471075307174685,,4.231688123732978,0.48928377999123496,1.4193865575782045,0.0,0.0,5.3471075307174685,,4.231688123732978,0.48928377999123496,1.4193865575782045,0.0,0.0,2010-01-17,6,2010,1
17,18 00:00:00,4,,,,5.5735788721243535,,4.251467012438517,1.2651758509150772,1.5925460447638826,0.0,0.0,5.5735788721243535,,4.251467012438517,1.2651758509150772,1.5925460447638826,0.0,0.0,2010-01-18,0,2010,1
18,19 00:00:00,4,,,,5.831882477283517,,4.302374475726262,2.055768729954005,1.5661824037631433,0.0,0.0,5.831882477283517,,4.302374475726262,2.055768729954005,1.5661824037631433,0.0,0.0,2010-01-19,1,2010,1
19,20 00:00:00,4,,,,4.261505478785374,,3.907010463604602,1.8897155907116716,3.540415698038604,0.0,0.0,4.261505478785374,,3.907010463604602,1.8897155907116716,3.540415698038604,0.0,0.0,2010-01-20,2,2010,1
20,21 00:00:00,4,,,,3.3232358401924436,,3.3886185994552953,0.9373782934942508,4.07873728877564,0.0,0.0,3.3232358401924436,,3.3886185994552953,0.9373782934942508,4.07873728877564,0.0,0.0,2010-01-21,3,2010,1
21,22 00:00:00,4,,,,3.4011973816621555,,3.4592042009365116,1.3394490258555958,4.5332668331563895,0.0,0.0,3.4011973816621555,,3.4592042009365116,1.3394490258555958,4.5332668331563895,0.0,0.0,2010-01-22,4,2010,1
22,23 00:00:00,4,,,,3.0709556947915786,,3.392829131991639,1.7922147389832441,3.7817339697263432,0.0,0.0,3.0709556947915786,,3.392829131991639,1.7922147389832441,3.7817339697263432,0.0,0.0,2010-01-23,5,2010,1
23,24 00:00:00,4,,,,4.409412615014583,,3.6847040827034556,1.5630219767326903,3.45618523165531,0.0,0.0,4.409412615014583,,3.6847040827034556,1.5630219767326903,3.45618523165531,0.0,0.0,2010-01-24,6,2010,1
24,25 00:00:00,4,,,,4.962003771188787,,3.11905548958599,1.6254295799637584,4.98498979710015,0.0,0.0,4.962003771188787,,3.11905548958599,1.6254295799637584,4.98498979710015,0.0,0.0,2010-01-25,0,2010,1
25,26 00:00:00,4,,,,5.315854987213364,,3.890118170040096,1.0746480082293808,1.1463436914893002,0.0,0.0,5.315854987213364,,3.890118170040096,1.0746480082293808,1.1463436914893002,0.0,0.0,2010-01-26,1,2010,1
26,27 00:00:00,4,,,,4.706899115411868,,3.69199958145018,2.139583887142578,3.207089977150827,0.0,0.0,4.706899115411868,,3.69199958145018,2.139583887142578,3.207089977150827,0.0,0.0,2010-01-27,2,2010,1
27,28 00:00:00,4,,,,3.0504571732432377,,3.2435684374585723,1.8845412026790218,3.7201964186198864,0.0,0.0,3.0504571732432377,,3.2435684374585723,1.8845412026790218,3.7201964186198864,0.0,0.0,2010-01-28,3,2010,1
28,29 00:00:00,4,,,,3.2435684374585723,,2.948815353766239,2.0901422807294137,3.791624051238394,0.0,0.0,3.2435684374585723,,2.948815353766239,2.0901422807294137,3.791624051238394,0.0,0.0,2010-01-29,4,2010,1
29,30 00:00:00,4,,,,3.8131230567732635,,3.1116617405610514,2.2169140989588385,3.689275209125923,0.0,0.0,3.8131230567732635,,3.1116617405610514,2.2169140989588385,3.689275209125923,0.0,0.0,2010-01-30,5,2010,1
30,31 00:00:00,4,,,,3.648491393208648,,3.3658580152168462,2.1594842493533726,4.135333209521677,0.0,0.0,3.648491393208648,,3.3658580152168462,2.1594842493533726,4.135333209521677,0.0,0.0,2010-01-31,6,2010,1
31,01 00:00:00,4,,,,4.169245870395218,,4.069026754237811,1.651963373264205,2.5678617789085716,0.0,0.0,4.169245870395218,,4.069026754237811,1.651963373264205,2.5678617789085716,0.0,0.0,2010-02-01,0,2010,2
32,02 00:00:00,4,,,,4.1883913179796535,,3.896062985849417,1.1422717837280045,1.7850005681188632,0.0,0.0,4.1883913179796535,,3.896062985849417,1.1422717837280045,1.7850005681188632,0.0,0.0,2010-02-02,1,2010,2
33,03 00:00:00,4,,,,4.368920287168581,,3.548179572010801,1.2056108063301743,2.7025350204141,0.0,0.0,4.368920287168581,,3.548179572010801,1.2056108063301743,2.7025350204141,0.0,0.0,2010-02-03,2,2010,2
34,04 00:00:00,4,,,,4.02906502585981,,3.451309423089503,1.2358367623912987,1.723882046824969,0.0,0.0,4.02906502585981,,3.451309423089503,1.2358367623912987,1.723882046824969,0.0,0.0,2010-02-04,3,2010,2
35,05 00:00:00,4,,,,4.364159632845457,,3.8195421526339812,1.4414395171717,1.5542775012568248,0.0,0.0,4.364159632845457,,3.8195421526339812,1.4414395171717,1.5542775012568248,0.0,0.0,2010-02-05,4,2010,2
36,06 00:00:00,4,,,,4.339467020255086,,4.197828317867067,1.2457124104987014,3.12758256642181,0.0,0.0,4.339467020255086,,4.197828317867067,1.2457124104987014,3.12758256642181,0.0,0.0,2010-02-06,5,2010,2
37,07 00:00:00,4,,,,4.735467186935949,,4.435764854460683,1.3917439658874557,1.7528164952794472,0.0,0.0,4.735467186935949,,4.435764854460683,1.3917439658874557,1.7528164952794472,0.0,0.0,2010-02-07,6,2010,2
38,08 00:00:00,4,,,,5.198266802186876,,4.340010350885132,1.842152996469294,1.181087931788477,0.0,0.0,5.198266802186876,,4.340010350885132,1.842152996469294,1.181087931788477,0.0,0.0,2010-02-08,0,2010,2
39,09 00:00:00,4,,,,4.994675274517526,,4.00277736869661,2.029190269628357,1.1925326141833803,0.0,0.0,4.994675274517526,,4.00277736869661,2.029190269628357,1.1925326141833803,0.0,0.0,2010-02-09,1,2010,2
40,10 00:00:00,4,,,,2.502118778669122,,2.922265121672118,1.8367258692877324,3.697797899621183,0.0,0.0,2.502118778669122,,2.922265121672118,1.8367258692877324,3.697797899621183,0.0,0.0,2010-02-10,2,2010,2
41,11 00:00:00,4,,,,2.679879324135514,,3.096708190893993,1.5191424602432813,3.2980720205053466,0.0,0.0,2.679879324135514,,3.096708190893993,1.5191424602432813,3.2980720205053466,0.0,0.0,2010-02-11,3,2010,2
42,12 00:00:00,4,,,,3.2911964864478267,,3.3019907315787074,1.195328996648716,1.9246743524052314,0.0,0.0,3.2911964864478267,,3.3019907315787074,1.195328996648716,1.9246743524052314,0.0,0.0,2010-02-12,4,2010,2
43,13 00:00:00,4,,,,4.479701440786919,,3.6265606897146783,1.339449025855595,2.1925841977797167,0.0,0.0,4.479701440786919,,3.6265606897146783,1.339449025855595,2.1925841977797167,0.0,0.0,2010-02-13,5,2010,2
44,14 00:00:00,4,,,,4.500775387450224,,3.4011973816621555,1.4169004157455276,2.2091439986939654,0.0,0.0,4.500775387450224,,3.4011973816621555,1.4169004157455276,2.2091439986939654,0.0,0.0,2010-02-14,6,2010,2
45,15 00:00:00,4,,,,3.5324692791044825,,3.2927456734346565,1.1090314089712825,1.7879327120794277,0.0,0.0,3.5324692791044825,,3.2927456734346565,1.1090314089712825,1.7879327120794277,0.0,0.0,2010-02-15,0,2010,2
46,16 00:00:00,4,,,,4.565649427825808,,3.7524409356036807,1.1531108232942198,2.015236298332385,0.0,0.0,4.565649427825808,,3.7524409356036807,1.1531108232942198,2.015236298332385,0.0,0.0,2010-02-16,1,2010,2
47,17 00:00:00,4,,,,4.1067670822206574,,3.410872647185574,1.739650963919486,3.7763750888318635,0.0,0.0,4.1067670822206574,,3.410872647185574,1.739650963919486,3.7763750888318635,0.0,0.0,2010-02-17,2,2010,2
48,18 00:00:00,4,,,,4.433293887055675,,3.405355391810819,1.7749986589993894,1.5295826871846359,0.0,0.0,4.433293887055675,,3.405355391810819,1.7749986589993894,1.5295826871846359,0.0,0.0,2010-02-18,3,2010,2
49,19 00:00:00,4,,,,4.743844580675851,,3.5589131276539097,2.0336693598005935,1.318416938716805,0.0,0.0,4.743844580675851,,3.5589131276539097,2.0336693598005935,1.318416938716805,0.0,0.0,2010-02-19,4,2010,2
50,20 00:00:00,4,,,,5.197575796746505,,3.8140425970679424,2.1151686118745436,1.2943846431861874,0.0,0.0,5.197575796746505,,3.8140425970679424,2.1151686118745436,1.2943846431861874,0.0,0.0,2010-02-20,5,2010,2
51,21 00:00:00,4,,,,4.798198113397678,,3.7832422155622214,2.400004323887195,2.680022171075261,0.0,0.0,4.798198113397678,,3.7832422155622214,2.400004323887195,2.680022171075261,0.0,0.0,2010-02-21,6,2010,2
52,22 00:00:00,4,,,,4.5199753399248594,,4.0401230080554615,2.0336693598005935,3.000782002186097,0.0,0.0,4.5199753399248594,,4.0401230080554615,2.0336693598005935,3.000782002186097,0.0,0.0,2010-02-22,0,2010,2
53,23 00:00:00,4,,,,5.162163490599089,,4.15366113937852,2.0336693598005935,0.504052739478562,0.0,0.0,5.162163490599089,,4.15366113937852,2.0336693598005935,0.504052739478562,0.0,0.0,2010-02-23,1,2010,2
54,24 00:00:00,4,,,,5.60855562471318,,4.131827655476841,2.412321267380558,2.257064577692236,0.0,0.0,5.60855562471318,,4.131827655476841,2.412321267380558,2.257064577692236,0.0,0.0,2010-02-24,2,2010,2
55,25 00:00:00,4,,,,5.105692916758185,,4.2496850101849475,2.378077742261481,3.0866388322416665,0.0,0.0,5.105692916758185,,4.2496850101849475,2.378077742261481,3.0866388322416665,0.0,0.0,2010-02-25,3,2010,2
56,26 00:00:00,4,,,,4.238324648844982,,3.972647627244581,2.2056889567718745,3.5668177467326987,0.0,0.0,4.238324648844982,,3.972647627244581,2.2056889567718745,3.5668177467326987,0.0,0.0,2010-02-26,4,2010,2
57,27 00:00:00,4,,,,4.383067759182292,,4.247304056679206,1.8793399010330187,2.907834139875474,0.4054651081081644,0.4054651081081644,4.383067759182292,,4.247304056679206,1.8793399010330187,2.907834139875474,0.4054651081081644,0.4054651081081644,2010-02-27,5,2010,2
58,28 00:00:00,4,,,,4.397017869159615,,4.194064197989841,2.0110705493854613,2.686173758269634,1.7404661748405046,1.7404661748405046,4.397017869159615,,4.194064197989841,2.0110705493854613,2.686173758269634,1.7404661748405046,1.7404661748405046,2010-02-28,6,2010,2
59,01 00:00:00,1,,,,4.081765780015241,,4.416327412203871,1.7030078804878899,3.737967193051224,0.3364722366212129,1.8082887711792655,4.081765780015241,,4.416327412203871,1.7030078804878899,3.737967193051224,0.3364722366212129,1.8082887711792655,2010-03-01,0,2010,3
60,02 00:00:00,1,,,,4.504428616186559,,3.995904489408848,2.186695754963228,3.159072740497447,0.0,0.0,4.504428616186559,,3.995904489408848,2.186695754963228,3.159072740497447,0.0,0.0,2010-03-02,1,2010,3
61,03 00:00:00,1,,,,5.058896217713509,,4.023117052933733,2.1905233643212716,1.9621466681029536,0.0,0.0,5.058896217713509,,4.023117052933733,2.1905233643212716,1.9621466681029536,0.0,0.0,2010-03-03,2,2010,3
62,04 00:00:00,1,,,,5.25922997783999,,4.183321598629403,2.2570274036620095,2.071545869402661,0.0,0.0,5.25922997783999,,4.183321598629403,2.2570274036620095,2.071545869402661,0.0,0.0,2010-03-04,3,2010,3
63,05 00:00:00,1,,,,3.0815276337169775,,3.06611307031579,2.081659026597023,3.9181210412232126,0.0,0.0,3.0815276337169775,,3.06611307031579,2.081659026597023,3.9181210412232126,0.0,0.0,2010-03-05,4,2010,3
64,06 00:00:00,1,,,,3.9480334429511794,,3.4773865200197016,1.78077034765246,3.4516792358099924,0.0,0.0,3.9480334429511794,,3.4773865200197016,1.78077034765246,3.4516792358099924,0.0,0.0,2010-03-06,5,2010,3
65,07 00:00:00,1,,,,4.475441079313307,,4.021624515343227,1.7153720340403786,2.454733770150631,0.0,0.0,4.475441079313307,,4.021624515343227,1.7153720340403786,2.454733770150631,0.0,0.0,2010-03-07,6,2010,3
66,08 00:00:00,1,,,,3.8149612925850147,,4.345427482225552,1.5772307977636606,2.6467065708611583,1.547562508716013,1.5040773967762742,3.8149612925850147,,4.345427482225552,1.5772307977636606,2.6467065708611583,1.547562508716013,1.5040773967762742,2010-03-08,0,2010,3
67,09 00:00:00,1,,,,2.9810415581439873,,3.481240089335692,1.5701516233602744,4.580373609660344,0.0,0.0,2.9810415581439873,,3.481240089335692,1.5701516233602744,4.580373609660344,0.0,0.0,2010-03-09,1,2010,3
68,10 00:00:00,1,,,,4.125116220888854,,3.6430536419085193,2.102733733915297,2.4397712571307126,0.0,0.0,4.125116220888854,,3.6430536419085193,2.102733733915297,2.4397712571307126,0.0,0.0,2010-03-10,2,2010,3
